index,work_id,subject
1137,187015,Landscape Art
1138,187033,Landscape Art
1139,186997,Landscape Art
1140,28671,Landscape Art
1141,28671,Rivers/Lakes
1142,187006,Landscape Art
1143,28673,Landscape Art
1144,28675,Landscape Art
1145,28677,Landscape Art
1146,187042,Landscape Art
1147,28679,Landscape Art
1148,187051,Landscape Art
1149,28681,Landscape Art
1150,28683,Landscape Art
1151,187060,Landscape Art
1152,28685,Landscape Art
1153,28687,Landscape Art
1154,123601,Flowers
1155,180520,Nude
1156,181130,Abstract/Modern Art
1157,30194,Nude
1158,180762,Abstract/Modern Art
1159,180773,Abstract/Modern Art
1160,180784,Abstract/Modern Art
1161,5802,Horses
1162,5810,Jesus Christ
1163,5894,Dogs
1164,206729,Christianity
1165,29602,Christianity
1166,29602,Jesus Christ
1167,149189,Christianity
1168,149056,Christianity
1169,29606,Christianity
1170,29604,Christianity
1171,149067,Christianity
1172,149078,Christianity
1173,149279,Christianity
1174,149234,Christianity
1175,29610,Christianity
1176,149261,Christianity
1177,149133,Christianity
1178,149270,Christianity
1179,149122,Christianity
1180,23057,Nude
1181,198824,Summer
1182,204291,Nude
1183,23079,Lovers
1184,23087,Musics
1185,23097,Portraits
1186,23099,Portraits
1187,23103,Nude
1188,23105,Churches/Temples/Mosques
1189,23105,Rivers/Lakes
1190,23107,Bridges
1191,23107,Rivers/Lakes
1192,23109,Nude
1193,26272,Portraits
1194,26274,Portraits
1195,26276,Portraits
1196,26278,Portraits
1197,26280,Portraits
1198,26286,Portraits
1199,26288,Portraits
1200,26290,Portraits
1201,26292,Portraits
1202,26294,Portraits
1203,26296,Portraits
1204,26298,Lovers
1205,26298,Nude
1206,187565,Musics
1207,25575,Dogs
1208,25577,Dogs
1209,25577,Musics
1210,187631,Musics
1211,25585,Musics
1212,25585,Portraits
1213,25587,Portraits
1214,25589,Portraits
1215,204830,Portraits
1216,188327,Christianity
1217,26599,Musics
1218,26603,Musics
1219,26627,Portraits
1220,26629,Portraits
1221,26631,Portraits
1222,26633,Portraits
1223,26637,Portraits
1224,26639,Portraits
1225,198607,Portraits
1226,26641,Portraits
1227,26643,Portraits
1228,26645,Portraits
1229,26647,Portraits
1230,160763,Landscape Art
